experiment_type,instance,instance_size,optimal_solution,num_threads,num_runs,mean_ratio_to_best,std_ratio_to_best,min_ratio_to_best,max_ratio_to_best,mean_wall_time_s,std_wall_time_s,mean_speedup,mean_efficiency,best_solution_found,worst_solution_found,mean_solution,std_solution,time_budget_s,mean_actual_iterations,std_actual_iterations,mean_iterations_per_second,std_iterations_per_second
fixed_iterations,eil51,51,426,1,5,0.9980313426489833,0.01908053333594018,0.9847934496846296,1.0315223660765591,1.02,0.0,1.0,1.0,419.5220095656522,439.4285279486142,425.1613519684668,8.128307201110529,,,,,
fixed_iterations,eil51,51,426,2,5,0.9795721003171648,0.018355321443317796,0.9586345983503723,1.0085855958639025,0.7285714285714286,0.0,1.4,0.7,408.3783388972587,429.6574638380224,417.2977147351122,7.819366934853342,,,,,
fixed_iterations,eil51,51,426,4,5,0.9845059674089575,0.018376881552331394,0.9566336324155192,1.0081950343822053,0.3642857142857143,0.0,2.8,0.7,407.5259274090112,429.4910846468194,419.3995421162158,7.828551541293147,,,,,
fixed_iterations,eil51,51,426,8,5,0.9254838012260812,0.016441305615086187,0.9018148551553226,0.9474650421783986,0.1821428571428571,0.0,5.6,0.7,384.1731282961674,403.6201079679978,394.2560993223107,7.0039961920267135,,,,,
fixed_iterations,kroA100,100,21282,1,5,0.997737326845988,0.02013245174058159,0.9791389429520588,1.0305478602435847,2.0,0.0,1.0,1.0,20838.034983905716,21932.11956170397,21233.845789936317,428.4588379430579,,,,,
fixed_iterations,kroA100,100,21282,2,5,0.9866114195638911,0.013977539683501457,0.9631253765150344,0.9971406079558148,1.4285714285714286,0.0,1.4,0.7,20497.234262992963,21221.14641851565,20997.06423115873,297.4699995442765,,,,,
fixed_iterations,kroA100,100,21282,4,5,0.9697842257897143,0.018338790794723434,0.9443479913997876,0.9842921187864008,0.7142857142857143,0.0,2.8,0.7,20097.61395297028,20947.704872012186,20638.9478932567,390.2861456933057,,,,,
fixed_iterations,kroA100,100,21282,8,5,0.9314146590837691,0.026204728693739424,0.8897560910635721,0.9596738151616988,0.3571428571428571,0.0,5.6,0.7,18935.789130014942,20423.778134271277,19822.366774620772,557.6890360601633,,,,,
fixed_iterations,ch150,150,6528,1,5,0.9995683322771608,0.013230676751827514,0.9833432300409382,1.0162376428968525,3.0,0.0,1.0,1.0,6419.264605707244,6633.999332830652,6525.182073105306,86.36985783592965,,,,,
fixed_iterations,ch150,150,6528,2,5,0.990286805059531,0.0171168128634981,0.9712470399931252,1.0121257865922133,2.142857142857143,0.0,1.4,0.7000000000000001,6340.300677075121,6607.157134873968,6464.592263428619,111.73855437291571,,,,,
fixed_iterations,ch150,150,6528,4,5,0.9595298137713627,0.016051210031442293,0.935080882144852,0.9756629204214476,1.0714285714285714,0.0,2.8000000000000003,0.7000000000000001,6104.207998641595,6369.12754451121,6263.810624299455,104.78229908525483,,,,,
fixed_iterations,ch150,150,6528,8,5,0.9262654279723419,0.016234856882658334,0.9057349451836402,0.9454551598646496,0.5357142857142857,0.0,5.6000000000000005,0.7000000000000001,5912.637722158803,6171.931283596432,6046.660713803448,105.98114572999344,,,,,
fixed_iterations,gr202,202,40160,1,5,1.0028086546573387,0.012012571770566645,0.9909436682150592,1.020723094037118,4.04,0.0,1.0,1.0,39796.29771551678,40992.23945653067,40272.79557103872,482.4248823059594,,,,,
fixed_iterations,gr202,202,40160,2,5,0.9964931121638552,0.025459552753284813,0.963327621481292,1.0231669065167714,2.885714285714286,0.0,1.4,0.7,38687.23727868869,41090.38296571354,40019.163384500425,1022.4556385719185,,,,,
fixed_iterations,gr202,202,40160,4,5,0.9751763656613793,0.006383544328576391,0.9660516799471868,0.982389230692765,1.442857142857143,0.0,2.8,0.7,38796.63546667902,39452.75150462144,39163.082844961,256.3631402356261,,,,,
fixed_iterations,gr202,202,40160,8,5,0.9229307054611624,0.007412264516912933,0.912410409373376,0.9317589682803352,0.7214285714285715,0.0,5.6,0.7,36642.402040434776,37419.440166138265,37064.89713132028,297.6765429992257,,,,,
time_budget,eil51,51,426,1,5,0.9981820874267899,0.012199959328880494,0.9846276399410816,1.0181289383288452,,,1.0,1.0,419.4513746149008,433.72292772808805,425.22556924381263,5.1971826741030664,1.02,10000.0,0.0,19607.843137254906,0.0
time_budget,eil51,51,426,2,5,0.9899407810862714,0.018243306555154187,0.9746742004921322,1.0197182786937435,,,1.4,0.7,415.2112094096483,434.3999867235348,421.7147727427517,7.771648592495723,1.02,7142.0,0.0,19605.49019607843,0.0
time_budget,eil51,51,426,4,5,0.9760981881802294,0.013389862944767256,0.9541836489909348,0.9899207185614268,,,2.8,0.7,406.48223447013817,421.7062261071678,415.8178281647778,5.704081614470878,1.02,3571.0,0.0,19605.49019607843,0.0
time_budget,eil51,51,426,8,5,0.9178061859011872,0.024187538125939483,0.8910239113139857,0.9519917025368844,,,5.6,0.7,379.5761862197579,405.5484652807127,390.9854351939058,10.303891241650206,1.02,1785.0,0.0,19600.0,0.0
time_budget,kroA100,100,21282,1,5,0.9999536891237216,0.017184148293578817,0.969986900585575,1.0119567663335378,,,1.0,1.0,20643.261218262207,21536.463901110357,21281.014411931043,365.71304398394614,2.0,10000.0,0.0,10000.0,0.0
time_budget,kroA100,100,21282,2,5,0.9959633233913909,0.021652508089711232,0.9745962420720816,1.0291568773467423,,,1.4,0.7,20741.35722377804,21902.51666369337,21196.091448415584,460.8086771652359,2.0,7142.0,0.0,9998.8,0.0
time_budget,kroA100,100,21282,4,5,0.9704791881233549,0.01130362785682409,0.9601057112719186,0.9895912057951752,,,2.8,0.7,20432.96974728897,21060.48004173292,20653.73808164124,240.56380804893024,2.0,3571.0,0.0,9998.8,0.0
time_budget,kroA100,100,21282,8,5,0.9363895257830042,0.013347905739230524,0.9247906621105758,0.9578051096684914,,,5.6,0.7,19681.394871037275,20384.008343964837,19928.24188771389,284.0701299423046,2.0,1785.0,0.0,9996.0,0.0
