timestamp,instance_name,instance_size,run_number,wall_time_s,tour_length,optimal_solution,ratio_to_best
2025-08-19T00:07:57.066110,eil51,51,1,1.02,435.3855640923099,426,1.0220318405922768
2025-08-19T00:07:57.066110,eil51,51,2,1.02,413.58883493396235,426,0.9708658097041369
2025-08-19T00:07:57.066110,eil51,51,3,1.02,430.9879575468044,426,1.0117088205324047
2025-08-19T00:07:57.067322,kroA100,100,1,2.0,21517.572938683144,21282,1.011069116562501
2025-08-19T00:07:57.067322,kroA100,100,2,2.0,21554.373484297204,21282,1.0127983029930083
2025-08-19T00:07:57.067322,kroA100,100,3,2.0,21968.1251581444,21282,1.032239693550625
2025-08-19T00:07:57.068406,ch150,150,1,3.0,6556.1505287353075,6528,1.0043122746224429
2025-08-19T00:07:57.068915,ch150,150,2,3.0,6598.956522674479,6528,1.0108695653606738
2025-08-19T00:07:57.068915,ch150,150,3,3.0,6778.429108920345,6528,1.0383623022243176
2025-08-19T00:07:57.069926,gr202,202,1,4.04,38829.146751845125,40160,0.966861223900526
2025-08-19T00:07:57.069926,gr202,202,2,4.04,39623.38740988027,40160,0.9866381327161422
2025-08-19T00:07:57.069926,gr202,202,3,4.04,39715.421789824846,40160,0.9889298254438458
