timestamp,experiment_type,algorithm,instance_name,instance_size,run_number,max_iterations,actual_iterations,time_budget_s,wall_time_s,tour_length,optimal_solution,ratio_to_best,num_threads,convergence_iteration,random_seed,speedup_ratio,efficiency,iterations_per_second
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,1,10000,10000,51.0,0.51,412.56968511091003,426,0.9684734392274883,1,7413,2000,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,2,10000,10000,51.0,0.51,434.0108238351503,426,1.0188047507867377,1,3347,2002,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,3,10000,10000,51.0,0.51,437.4863586781532,426,1.0269632832820497,1,4576,2004,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,4,10000,10000,51.0,0.51,419.15282632695875,426,0.983926822363753,1,4877,2006,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,5,10000,10000,51.0,0.51,423.14545439940815,426,0.9932991887310051,1,3011,2008,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,6,10000,10000,51.0,0.51,437.40860171973685,426,1.0267807552106498,1,7101,2010,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,7,10000,10000,51.0,0.51,425.8914582892107,426,0.9997452072516683,1,7175,2012,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,8,10000,10000,51.0,0.51,424.2824851925985,426,0.9959682750999964,1,4199,2014,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,9,10000,10000,51.0,0.51,422.9389733989754,426,0.9928144915468906,1,6380,2016,1.0,1.0,19607.843137254902
2025-08-19T00:14:18.870779,time_budget,Serial_ACO_1,eil51,51,10,10000,10000,51.0,0.51,428.9782016265378,426,1.0069910836303704,1,5993,2018,1.0,1.0,19607.843137254902
